0,36.6,-1.57085,38.3
0.19501,33.9917,1.00245,35.06836
1.00245,34.38721,-1.21664,35.06836
1.7,36.6,0,38.3
3.37086,36.6,1.7,38.3
3.91358,39.98749,3.367438,41.463434
4.43404,34.4696,3.37086,36.82617
-4.356,39.96826,-4.67635,39.55353
-3.79848,38.31482,-4.0451,38.75427
-3.54632,38.75427,-4.35737,39.96826
0.60149,34.18945,0.19501,35.06836
1.03541,34.50256,0.60149,35.06836
1.43082,34.83765,1.03541,35.06836
-3.54632,37.95227,-3.79848,38.75427
-1.57085,36.17429,-2.19398,37.72156
-1.57085,37.72156,-3.54632,41.52283
0,38.3,-1.57085,40.979
1.7,38.3,0,40.979
3.37086,38.3,1.7,40.979
0,35.06836,-1.57085,36.6
1.7,35.06836,0,36.6
3.37086,35.06836,1.7,36.6
